Francais,Malagasy,Anglais
perizzites,"ferezeana,perizita",perizzites
perse,"persa,persia",persia
persis,"persida,perysa",persis
pétor,petora,pethor
petuel,"fatoely,petoela",pethuel
phalec,"falega,palega",phalec
phanouel,fanoela,phanuel
pharaon,"faraona,farao",pharaoh
pharès,"faresa,fareza",phares
pharisiens,"fariseo,farisiana",pharisees
phébée,"febe,foiby",phebe
phénicie,"fenisia,foinika",phenicia
phénix,"fenisy,foiniksa",phenice
philadelphie,filadelfia,philadelphia
philète,fileto,philetus
philippe,filipo,philip
philippes,filipy,philippi
philippiens,filipiana,philippians
philistie,"filistia,filistìna",palestina
philistins,fifistina,philistines
philologue,filologo,philologus
phlégon,"felgòna,flegona",phlegon
phrygie,"frijia,frygia",phrygia
phygèle,"figelo,fygelo",phygellus
pi-bésèt,"bobasta,pi-beseta",pibeseth
pierre,"petera,piera",peter
pi-hahirot,"fihahirota,hahirota,pi-hahirota",pihahiroth
pikol,"fikola,pikola",phichol
pilate,"pilato,pilaty",pilate
pildash,"feldasa,pildasy",pildash
piltaï,"feltì,piltahy",piltai
pinhas,"finea,finehasa",phinehas
piréatôn,"farataona,faratòna,piratona,piratonita",pirathonite
pisga,"fasgà,pisga",pisgah
pishôn,"fisòna,pisona",pison
pisidie,pisidia,pisidia
pitom,"pitaoma,pitoma",pithom
ponce,"pontio,pontsy",pontius
pont,"ponta,ponto",pontus
porata,"foratà,porata",poratha
porcius,"porsios,porsio",porcius
poti-phéra,"potifara,poti-fera",potipherah
priscille,prisila,priscilla
prochore,"prokora,prokoro",prochorus
proverbes,ohabolana,proverbs
psaumes (les),salamo,psalms
ptolémaïs,"ptolemaisy,tolemaia",ptolemais
pua,"foà,poa",puah
publius,"pobliosa,popilo",publius
pudens,"poda,podensy",pudens
pul,"fola,pola",pul
punôn,"fonona,ponona",punon
pura,"farà,pora",phurah
purim,porima,purim
puteoli,"potioly,pozoly",puteoli
putiel,"fotiela,potiela",putiel
puvvite,"foaita,povita",punites
qadmiel,"kadmiela,kedmiela",kadmiel
qadmonites,"kadmoneana,kadmonita",kadmonites
qallaï,"kalay,kelai",kallai
qamôn,kamòna,camon
qaréah,karea,kareah
qarqor,karkora,karkor
qédar,"kedara,sedara",kedar
qedémot,"kademota,kedemota",kedemoth
qédèsh,"kadesa,kadesi-naftaly",kedeshnaphtali
qédesh,kedesy,kedesh
qehatites,"kaatita,kehatita",kohathites
qehat,"kaata,kehata",kohath
qehélata,"keelatà,kehelata",kehelathah
qéïla,keila,keilah
qelita,kelità,kelita
qemuel,"kamoela,kemoela",kemuel
qenat,"kanata,kenata",kenath
qenaz,"kenaza,keneza,seneza",kenaz
qénites,"kenita,kineana",kenites
qenizzite,"kenezeana,kenizita",kenezite
qeriyyot,"kariota,kiriota",kirioth
qetura,"ketora,setorà",keturah
qibrot-ha-taava,"kibrota-hataavà,kibrota-hatava",kibrothhattaavah
qir-harésèt,kira hereseta,"kirhareseth,kirheres"
qir-hérès,"kira-haresa,kira hereseta,kri-heresa","kirhareseth,kirheres"
qiryat-arba,"kariat-arbe,kiriat-arba,kiriatarbe","ebronah,hebron,kirjatharba"
qiryatayim,"kaariataïma,kariataina,kiriataima","kiriathaim,kirjathaim"
qiryat-baal,"kariat-baala,kariat-jearima","kirjathbaal,kirjathjearim"
qiryat-huçot,"kinata-hozota,kiriata-kotsota",kirjathhuzoth
qiryat-séphèr,"kariata-sefera,kiriata-sefera",kirjathsepher
qiryat-yéarim,"kariat-baala,kariatiarima,kariat-jearima,kiriata-jearima","kirjathbaal,kirjathjearim"
qishôn,"kisona,sisaona",kishon
qish,"kisy,sisa",kish
qitrôn,"kitrona,setrona",kitron
qoç,kaosa,"coz,hakkoz,koz"
qolaya,"kolaia,koliasa",kolaiah
qorah,kore,korah
quartus,"koartosa,koarto",quartus
quirinius,"kyrenio,sirinosy",cyrenius
raamya,"raamiasa,ramia",raamiah
rabba,rabaha,rabbah
rabbi,raby,rabbi
rabbouni,rabôny,rabboni
rachel,"rahely,rasela",rachel
raçôn,"rasina,rezina",rezin
ragau,reo,ragau
rahab,rahaba,rahab
rama,"ragama,rama,regma","raamah,ramah,ram"
ramatayim,"ramataima-sofima,ramataima-zofima",ramathaimzophim
ramat-lehi,"ramata-lehy,ramata-lekia",ramathlehi
ramot,ramota,ramoth
ram,"ragama,regma","raamah,ramah,ram"
ramsès,"ramesesa,ramsesa",rameses
rapha,rafà,rapha
raphu,rafò,raphu
reaya,"raaià,raià,reaia",reaiah
réba,"reba,rebe",reba
rébecca,rebeka,rebekah
réçeph,"razefa,resefa",rezeph
rehobot,"rehobota,rekobota",rehoboth
rehob,"bohoba,rehoba,rohoba",rehob
rehum,rehoma,rehum
reï,"reia,rey",rei
rékabites,"rekaba,rekabita",rechabites
rékab,"rekah,reka",rechah
remalyahu,"rasima,remalia",remaliah
rephaèl,refaela,rephael
rephaïm,"refaima,refaita",rephaim
rephân,"raifàna,refana",remphan
rephidim,"rafidima,refidima",rephidim
réqem,rekema,rekem
résa,"resa,rezà",rhesa
réuel,"doela,roela",reuel
rezôn,"razona,rezona",rezon
rhegium,"regioma,rejio",rhegium
rhodes,"rodo,rody",rhodes
ribaï,"ribaia,ribay",ribai
ribla,"rebla,ribla",riblah
riçpa,"resfà,rizpa",rizpah
riçya,"resià,rizia",rezia
rimmôn-pérèç,"remonfaresa,rimona-pareza",rimmonparez
rimmôn,"remona,rimona",rimmon
riphat,rifata,riphath
rissa,"resà,risa",rissah
ritma,"retmà,ritma",rithmah
roboam,"rehoboama,roboama",rehoboam
roglim,rogelima,rogelim
rohga,"roagà,rohaga",rohgah
rois,mpanjaka,kings
romains,romana,romans
rome,roma,rome
rubénites,robenita,reubenites
ruben,robena,reuben
rufus,rofosy,rufus
ruma,"rimà,romaha",rumah
ruth,rota,ruth
sabta,"sabatà,sabta",sabtah
sabteka,"sabatakà,sabteka",sabtechah
sadducéens,"sadoseana,sadoseo",sadducees
sadok,sadoka,sadoc
sadoq,"sadaoka,zadoka",zadok
sagesse,fahendrena,wisdom
saint esprit,fanahy masina,holy spirit
salamine,"salamina,salamisy",salamis
salathiel,"salatiela,sealtiela",salathiel
salem,salema,salem
salim,"saleima,salima",salim
salka,"saleka,selkà",salchah
salmanasar,"salmanasara,salmanesera",shalmaneser
salmon,salmona,salmon
salomé,salome,salome
salomon,"salomona,solomona",solomon
salu,salò,salu
samarie,samaria,samaria
samaritains,samaritana,samaritans
samgar-nébo,samgarnebo,samgarnebo
samla,"samla,semlà",samlah
samos,"samosy,samo",samos
samothrace,"samotrakia,samotrasy",samothracia
samson,samsona,samson
samuel,samoela,samuel
sânballat,"sanabalata,sanbala",sanballat
saphire,safira,sapphira
saraï,saray,sarai
sara,"saraha,sarà",sarah
sardes,"sarda,sardisy",sardis
sardite,"saredita,seredita",sardites
saréçer,sarezera,sharezer
sareéçer,"sarasara,serezera",sherezer
sarepta,"sareptà,zarefata",sarepta
sargon,sargona,sargon
saron,sarôna,saron
sarôn,"sarona,sarônita",sharonite
sar-sekim,sarsekima,sarsechim
satan,satana,satan
saül,"saola,saoly",saul
scéva,"sevà,skeva",sceva
sébaïtes,sabeana,sabeans
sebam,"sabàna,sebama",shebam
séba,seba,seba
secundus,"sekondosa,sekondo",secundus
sédécias,"sedekiasa,sedesiasa,zedekia",zedekiah
seigneur,tompo,lord
séïr,seira,seir
séled,saleda,seled
séleucie,"seleokia,seleosia",seleucia
semakyahu,"samakiasa,semakia",semachiah
sem,"samaà,sema","shemaah,shem"
senaa,"senaà,sena",senaah
senir,"sanira,senira",shenir
sennachérib,"sankeriba,senakeriba",sennacherib
senné,sene,seneh
séorim,seorima,seorim
sepharad,sefarada,sepharad
séphar,sefara,sephar
sepharvayim,"sefarvaima,sefarvita","sepharvaim,sepharvites"
sérah,sera,serah
serayahu,"saraiasa,saraià",seraiah
seraya,"saraiasa,saraià,seraiasa,seraia",seraiah
séred,"sareda,sereda",sered
sergius paulus,"serjio paoly,serygio paolo",sergius paulus
sérouch,"saroga,seroga",saruch
seth,seta,seth
setur,"setora,sotora",sethur
shaalbim,"salbima,salebima",shaalbim
shaalbôn,"salabona,salbonita",shaalbonite
shaarayim,"saarima,saraima",shaaraim
shaashgaz,"sasegaza,sosagaza",shaashgaz
shabtaï,"sabataì,sabetahy,sebetaì",shabbethai
shadrak,"sadraka,sidraka",shadrach
shalisha,salisa,shalisha
shallum,"saloma,seloma",shallum
shalmaï,salmay,shalmai
shalmân,"salamana,salmana",shalman
shamma,"sama,sammà,samnà","shammah,shamma"
shammua,samoa,shammua
shaphân,safana,shaphan
shaphat,safatà,shaphat
sharar,sarara,sharar
shaûlite,saolita,shaulites
shaûl,saola,saul
shaül,saola,"saul,shaul"
shaûl,saoly,saul
shaül,saoly,"saul,shaul"
shaûl,"soara,zohara",shaul
shavé,save,shaveh
shéarya,"sarià,searia",sheariah
shéar-yashub,seara-jasoba,shearjashub
sheba,"sabà,sheba",sheba
shebna,"sebna,sobnà",shebna
shédéur,sedeora,shedeur
shekanya,"sekania,sekeniasa",shechaniah
shékémite,sekemita,shechemites
shélah,sela,salah
shélanite,"selaita,selita",shelanites
shélanites,silonita,shilonites
shélémyahu,"selemiasa,semelia",shelemiah
shéleph,salefa,sheleph
shélesh,"salesa,selesy",shelesh
shelomi,"salomy,selomy",shelomi
shelomit,"selemita,selomota",shelomith
shelumiel,"salamiela,selomiela",shelumiel
shemarya,"semaria,semeriasa",shemariah
shemayahu,"semaia,semeiasa",shemaiah
shemaya,samià,shemaiah
shémeéber,"semebera,seneber",shemeber
shémer,"samera,somera",shemer
shemidaïte,"semidaïta,semidita",shemidaites
shemida,semida,shemida
shemiramot,semiramota,shemiramoth
shepham,"sefama,sopima","shepham,shuppim"
shephatya,"safatiasa,safatia",shephatiah
shéphèr,"sapera,sefera",shapher
shephi,"sefà,sefy",shephi
shepho,"sefao,sefo",shepho
shephuphamite,"sefofamita,sofamita",shuphamites
shephupham,"sefofama,sofama",shupham
shéresh,"saresa,saresy",sheresh
shéshaï,"sesaia,sesay",sheshai
shéshak,sesàka,sheshach
shéshân,sesàna,sheshan
sheshbaççar,"sasabasara,sesbazara",sheshbazzar
sheshonq,"sesaka,sisaka",shishak
shetar-boznaï,"setara-bozenay,starbozanaì",shetharboznai
shétar,setara,shethar
shibbolet,"shiboleta,skiboleta",shibboleth
shihor,sihora,shihor
shillémite,silemita,shillemites
shillem,"selema,silema",shillem
shiméa,"simea,simmaà",shimea
shiméatites,"sokatiana,sokatita",suchathites
shiméat,"semaata,simata",shimeath
shiméï,"semeia,semeì,simey",shimei
shiméite,simeita,shimites
shimrat,"semarata,simrata",shimrath
shimri,"semrì,simry",simri
shimronite,"semranita,simronita",shimronites
shimrôn,"simerona,simrona",shimrom
shimshaï,"samsaì,simsay",shimshai
shinéab,"senaaba,sinaba",shinab
shinéar,"sennaara,sinara",shinar
shiphéï,"sefeì,sify",shiphi
shiphtân,"seftàna,siftana",shiphtan
shisha,sisà,shisha
shitraï,"setraì,sitray",shitrai
shittim,"setima,sitima",shittim
shiya,seva,sheva
shiza,"sirà,siza",shiza
shobab,sobaba,shobab
shobaï,"sobaì,sobay",shobai
shobal,sobala,shobal
shobi,"sobì,soby",shobi
shophak,"sobaka,sofàka",shophach
shuah,"sohe,sohita",shuhite
shual,"soala,solala",shual
shubaèl,"sobaela,soboela",shubael
shuhamites,sohamita,shuhamites
shuham,sohama,shuham
shumatites,"semateana,somatita",shumathites
shunamite,"sonamita,sonemita",shunammite
shunem,"sonama,sonema",shunem
shuni,"sonì,sony",shuni
shuppim,sopima,"shepham,shuppim"
shur,sora,shur
shutalhite,"sotalaïta,sotelita",shuthalhites
shutélah,"sotalà,sotela",shuthelah
sibbekaï,"sibekay,sobokaì",sibbecai
sibbolet,siboleta,sibboleth
sibma,"sabama,sibma",sibmah
sibrayim,"sabarima,sibraima",sibraim
sichem,"sekema,sikema",shechem
siddim,sidima,siddim
sidoniens,sidoniana,sidonians
sidon,sidona,sidon
sihôn,"sehona,sihona",sihon
silas,silasy,silas
siloé,"siloama,siloe",siloam
silo,"silao,silo",shiloh
siméonites,simeonita,simeonites
siméon,simeona,simeon
simon,simona,simon
sinaï,"sinaia,sinay",sinai
sînîm,sinima,sinim
sinite,"sineana,sinita",sinite
sîn,sina,sin
sion,"siona,ziona",zion
sippaï,"safaì,sipay",sippai
sira,"siraha,sira",sirah
siryôn,"sariona,siriona",sirion
sismaï,"sisamoia,sismay",sisamai
sisra,"sisarà,sisera",sisera
sitna,sitnà,sitnah
sitri,"setrì,sitry",zithri
sivân,sivana,sivan
smyrne,"smirna,smyrna",smyrna
sodi,"sodì,sody",sodi
sodome,sodoma,sodom
soko,"sokao,soko",sochoh
sopatros,sopatera,sopater
sophérèt,sofereta,sophereth
sophonie,"sofonia,zefania",zephaniah
soreq,soreka,sorek
sosipatros,"sosipatera,sosipatro",sosipater
sosthène,sostena,sosthenes
sotaï,"sotahy,sotai",sotai
stachys,"stakisa,staky",stachys
stéphanas,stefanasy,stephanas
suah,"soe,soha",suah
sukkien,sokita,sukkiim
sukkot-benot,sokota-benota,succothbenoth
sukkot,sokota,succoth
suse,"sosana,sosa",shushan
susi,"sosy,sozì",susi
sychar,"sikara,sykara",sychar
syène,"siena,syena",syene
syntychè,"sintikea,syntyke",syntyche
syracuse,"sirakosa,syrakosa",syracuse
syrien,"siriana,syriana",syrian
syrie,"siria,syria",syria
tabbaot,"tabaota,tebaota",tabbaoth
tabbat,"tabata,tebata",tabbath
tabeel,"tabeala,tabeela",tabeal
tabeéra,"tabeerà,tabera",taberah
tabitha,tabità,tabitha
tabor,"tabara,tabora",tabor
tabrimmôn,"tabremona,tabrimona",tabrimon
tadmor,tadmora,tadmor
tahanite,"tahanita,tehenita",tahanites
tahân,"tahana,tehena",tahan
tahas,"tahasy,toasy",thahash
tahat,tahata,tahath
tahpanhès,"tafnesa,tapanesa",tehaphnehes
talitha,talita,talitha
talmaï,"talmay,tolmaia",talmai
talmôn,"talmona,telmona",talmon
tamar,tamara,tamar
tammuz,"tammoza,tamoza",tammuz
tanak,tanàka,taanach
tanhumèt,"tanehometa,tanometa",tanhumeth
tanis,zoana,zoan
tappuah,"tafoà,tapoa",tappuah
tarse,"tarsosy,tarsy",tarsus
tarsis,"tarsisa,tarsisy",tarshish
tartaq,tartaka,tartak
tattenaï,"tatanaì,tatenay",tatnai
tébah,"tabea,teba",tebah
tebalyahu,"tabeliasa,tebalia",tebaliah
tébèç,"tebesa,tebeza",thebez
tébèt,tebeta,tebeth
téglat-phalasar,"teglathfalasara,tiglato-pilesera",tiglathpileser
télem,"talema,telema",telem
tel-harsha,"tela-harsa,tel-harsà",telharesha
tel-mélah,"tela-mela,tel-melà",telmelah
témanites,temanita,temanites
témân,temàna,teman
téma,temà,tema
téqoa,"tekoa,tekoe",tekoa
teqoa,tekoita,tekoites
térah,"tare,tera",tarah
téresh,"taresa,taresy",teresh
terreur-de-tous-côtés,magora-misabiba,magormissabib
tertius,"tersiosa,tertio",tertius
tertullus,"tertolosa,tertylo",tertullus
testament (nouveau),filazantsara,"gospels (the),testament (the new)"
testament,testamenta,testament
thaddée,"tadeo,tade",thaddaeus
théophile,"teofilo,teofily",theophilus
thessaloniciens,"tesaloniana,tesalonìka",thessalonians
thessalonique,tesalonika,thessalonica
theudas,teodasy,theudas
thomas,"tomasy,tomà",thomas
thyatire,"tiatira,tyatira",thyatira
tibère,"tibera,tiberia",tiberius
tibériade,"tiberiady,tiberiasy",tiberias
tibni,"tebnì,tibny",tibni
tiçite,tizita,tizite
tigre,"hidekela,tigra",hiddekel
timée,"timeo,time",timaeus
timnat-hérès,"tamnata-heresy,timnata-heresa",timnathheres
timna,"tamna,timna",timnah
timnite,"tamnaana,timnita",timnite
timon,timona,timon
timothée,"timote,timoty",timotheus
tiqva,"tekoa,tikva",tikvah
tirça,"tersà,tirza",tirzah
tirhaqa,"tharakà,tiraka",tirhakah
tirya,tirià,tiria
tishbite,"tesbita,tisbita",tishbite
tite,"titosy,tito",titus
tobiyya,tobia,tobiah
tob,toba,ishtob
tohu,"taohò,toho",tohu
tokèn,tokena,tochen
tolad,tolada,tolad
tolaïte,"tolaïta,tolita",tolaites
tola,tola,tola
tophel,tofela,tophel
tophèt,tofeta,tophet
troas,troasy,troas
trophime,"trofima,trofimo",trophimus
tryphène,"trifemo,tryfena",tryphena
tryphose,"trifaozy,tryfosa",tryphosa
tubal-caïn,"tobala-kaina,tobal-kaina",tubalcain
tubal,tobala,tubal
tummim,tomima,thummim
tychique,"tisika,tykiko",tychicus
tyrannos,"tiranosa,tyrano",tyrannus
tyr,"tira,tyro",tyre
uç,"osa,oza",uz
ulaï,"olai,olay",ulai
ulam,olama,ulam
urie,oria,uriah
urim,orima,urim
uri,"orì,ory",uri
uzaï,"ozay,ozì",uzai
uzal,ozala,uzal
uzza,oza,uzza
uzziélite,"azielita,ozielita",uzzielites
uzziel,oziela,uzziel
uzzi,"ozi,ozy",uzzi
vaphsi,"vapsì,vofsy",vophsi
vasthi,"vastì,vasty",vashti
yaaqân,jakàna,jakan
yaazanya,"jazania,jezoniasa",jaazaniah
yabal,"jabala,jabela",jabal
yabboq,"jabaoka,jaboka",jabbok
yabesh,"jabesa,jabesy",jabesh
yabîn,jabìna,jabin
yabné,"jabne,jabnia",jabneh
yada,jadà,jada
yaddaï,"jadao,jedao",jadau
yadôn,jadòna,jadon
yaèl,"jaela,jahela",jael
yahaç,"jaasiasa,jahaza,jasà","jahaziah,jahaz"
yahat,jahata,jahath
yahaziel,jahaziela,jahaziel
yahçéélite,"jazielita,jesielita",jahzeelites
yahçéel,"jasiela,jaziela",jahzeel
yahdiel,"jadiela,jediela",jahdiel
yahléélite,"jahalelita,jalelita",jahleelites
yahléel,"jahalela,jalela",jahleel
yahvé-paix,"iaveh-saloma,jehovah-saloma",jehovahshalom
yahvé,jehovah,"god,jehovah,lord"
yahzeya,jaasiasa,"jahaziah,jahaz"
yaïr,jaira,jair
yakîn,jakina,jachin
yalam,"ielona,jalama",jaalam
yaminite,jaminita,jaminites
yamîn,jamina,jamin
yanoah,"janoa,janoe",janoah
yaphia,jafia,japhia
yaphlet,"jafleta,jeflata",japhlet
yaqé,jake,jakeh
yaqim,"jakima,jasima",jakim
yara,jara,jarah
yarib,jariba,jarib
yashobéam,"jasobeama,jesboama",jashobeam
yashubite,jasobita,jashubites
yashub,jasoba,jashub
yatniel,jatanaela,jathniel
yattir,"jatera,jatira,jetera","jattir,jether"
yavân,javàna,javan
yazèr,jazera,jazer
yaziz,jaziza,jaziz
yebèrèkyahu,"jebarakia,jeberekia",jeberechiah
yéçer,"jesera,jezera",jezer
yedaya,"hadaia,jedaia","adaiah,jedaiah"
yediael,"jediaela,jedihela",jediael
yedida,"idida,jedida",jedidah
yedidya,"jedidiah,jedidia",jedidiah
yedutûn,"iditona,jedotona",jeduthun
yegar,"jegara-sahadota,yegara-sahadotà",jegarsahadutha
yehalléléel,"jaleleela,jehalalila",jehaleleel
yehiel,jehiela,jehiel
yehoaddân,joadana,jehoaddan
yehoadda,joada,jehoadah
yehoçadaq,"josedeka,jozadaka",josedech
yehoshaphat,elihorefa,elihoreph
yehoshéba,"josaba,joseba",jehosheba
yehoyada,joiada,jehoiada
yehudit,jodita,judith
yehudi,"jehody,jodì",jehudi
yeïel,jeiela,jeiel
yekolyahu,"jekelia,jekolia",jecholiah
yemuel,"jamoela,jemoela",jemuel
yephunné,jefone,jephunneh
yeqaméam,"jekameama,jekmaàna",jekameam
yerahméel,"jerameela,jeramela",jerahmeel
yérah,"jare,jera",jerah
yéred,jareda,jared
yerémot,jeremota,jeremoth
yeribaï,"jeribaì,jeribay",jeribai
yerimot,jerimota,jerimoth
yeriyya,jeria,jerijah
yeroham,jerohama,jeroham
yerubbaal,"jerobaala,jerobala",jerubbaal
yerusha,jerosa,jerusha
yeshayahu,"jereiasa,jesaia",jeshaiah
yéter,jatera,"jattir,jether"
yetèt,alva,aliah
yetur,jetora,jetur
yéush,"jehosy,jeosy",jeush
yeziel,jeziela,jeziel
yibleam,"jeblaama,jibleama",ibleam
yiçharite,"jesaarita,jizarita",izeharites
yiçhar,"isaara,jizara",izhar
yidbash,"jedebosa,jidbasy",idbash
yidlaph,"jedlafa,jidiafa",jidlaph
yigéal,"jegaala,jigala",igal
yimla,"jemlà,jimla",imlah
yimna,"jemnà,jimna",imna
yimnite,"jemnita,jimnita",jimnites
yiréiyyaï,"jeriasa,jiria",irijah
yishbaq,"jesbaoka,jisbaka",ishbak
yishba,"jesbà,jisba",ishbah
yishéï,"jesì,jisy",ishi
yishma,"jesema,jisma",ishma
yishva,"jesoa,jisva",ishuah
yishvi,jisvy,isui
yiska,"iska,jeskà",iscah
yismakyahu,"jesmakiasa,jismakia",ismachiah
yitma,"jetma,jitma",ithmah
yitrân,"jetrana,jitrana",ithran
yitréam,"jetraama,jitreama",ithream
yizréel,"jezirela,jezrahela,jezrahely",jezreel
yoah,"joahe,joa",joah
yobab,jobaba,jobab
yoèd,joeda,joed
yoèl,joela,joel
yogbéha,"jegbàa,jogbeha",jogbehah
yogboha,jegbàa,jogbehah
yogli,jogly,jogli
yohanân,johanana,johanan
yoha,johà,joha
yokébed,"jokabeda,jokebeda",jochebed
yonadab,jonadaba,jonadab
yoqméam,"jekimaana,jokneama",jokneam
yoqshân,"jeksàna,joksana",jokshan
yoqtân,"jektàna,joktana",joktan
yoqtéel,"jektehela,joktela",joktheel
yorqéam,"jokadama,jokdeama",jokdeam
yoseph,josefa,joseph
yotam,"joatama,jotama",jotham
yotbata,"jetebatà,jotbata",jotbath
yotba,"jeteba,jotba",jotbah
yoyarib,joiariba,joiarib
yozabad,"jozabada,jozabeda",jozabad
yubal,jobala,jubal
yukal,"jokala,jokaly",jucal
zaavân,zavàna,zavan
zabad,zabada,zabad
zabdiel,zabdiela,zabdiel
zabdi,"zabdy,zebedeì",zabdi
zabud,zaboda,zabud
zabulon,"zabolona,zebolona",zebulun
zacharie,zakaria,"zachariah,zechariah"
zachée,"zakaiosy,zake",zacchaeus
zaham,"zahama,zama",zaham
zaker,zakera,zacher
zakkaï,zakaì,zaccai
zakkur,"zakora,zekora",zaccur
zamzummim,"zamzomita,zomzomima",zamzummims
zanoah,"zanoa,zanola",zanoah
zarhite,"zareita,zerita",zarhites
zaza,zaza,zaza
zebadya,"zabadia,zebadia",zebadiah
zébah,"zebaha,zebea,zehaba",zebah
zébédée,"zebede,zebedio",zebedee
zebida,zebidà,zebudah
zebina,"zabinà,zebina",zebina
zebul,zebola,zebul
zéeb,zeba,zeeb
zélote,"zelota,zeloty",zelotes
zemira,"zamirà,zemira",zemira
zénas,"zenasy,zena",zenas
zerahya,"zarehiasa,zerahia",zerahiah
zérah,"zara,zare,zera",zerah
zéred,zareda,zared
zéresh,"zaresa,zaresy",zeresh
zetân,zetàna,zethan
zétar,zetara,zethar
zeus,jopitera,jupiter
zikri,"zekrì,zikry",zichri
zilpa,"zelfah,zilpa",zilpah
zimma,"zammà,zemà,zima",zimmah
zimrân,"zamràna,zimrana",zimran
zimri,"zambrì,zimry",zimri
zipha,"zifaha,zifà",ziphah
ziphrôn,"jofrona,zifrona",ziphron
ziph,"zifa,zifeana,zifiana","ziphites,ziph"
ziza,ziza,ziza
zorobabel,"zerobabela,zorobabela",zerubbabel
zuzim,"zosima,zozima",zuzims
education,fianarana,education
apprendre,mianatra,"imitate (to),learn (to),mimic (to),study (to)"
ardoise (une),solaitra,slate (a)
collège (un),kolejy,college (a)
disciple (un),mpianatra,"pupil (a),student (a)"
école (aller à),mianatra,"imitate (to),learn (to),mimic (to),study (to)"
école,sekoly,school
école (une),sokolo,school (a)
écolier (un),mpianatra,"pupil (a),student (a)"
élève (un),mpianatra,"pupil (a),student (a)"
enseigner,mampianatra,teach (to)
étudiant (un),mpianatra,"pupil (a),student (a)"
imitateur (un),mpianatra,"pupil (a),student (a)"
imiter,mianatra,"imitate (to),learn (to),mimic (to),study (to)"
instituteur,mpampianatra,teacher
